originID,grade,type,start_time,end_time,lasting_time,o_lat,o_lon,d_lat,d_lon,dist (km)
'2600808523502521231',minor,CONGESTION,03/01/2022 00:22:27,03/01/2022 00:52:27,0:30:00,1.35018,103.69437,1.34769,103.69234,0.3561539341289244
'1855498241825456399',minor,CONGESTION,03/01/2022 00:23:27,03/01/2022 00:38:27,0:15:00,1.32187,103.70436,1.3223,103.69993,0.49530240166254214
'106678563070317092',minor,CONGESTION,03/01/2022 00:24:57,03/01/2022 00:39:57,0:15:00,1.32165,103.87454,1.31749,103.8751,0.46419415689491894
'1342404934044158071',minor,CONGESTION,03/01/2022 00:24:52,03/01/2022 00:39:32,0:14:40,1.41741,103.80251,1.41741,103.80251,0.0
'2313895981541019718',minor,CONGESTION,03/01/2022 00:23:57,03/01/2022 00:53:57,0:30:00,1.38039,103.91603,1.37692,103.91103,0.6759026695895499
'3263500279648701377',minor,CONGESTION,03/01/2022 00:25:27,03/01/2022 00:55:27,0:30:00,1.33107,103.81923,1.32724,103.82558,0.8238715184574691
'2985250968715261153',minor,CONGESTION,03/01/2022 00:25:27,03/01/2022 00:40:27,0:15:00,1.322,103.70296,1.3223,103.69993,0.33883657627684866
'2421432631852865485',minor,CONGESTION,03/01/2022 00:28:27,03/01/2022 01:13:27,0:45:00,1.36151,103.70372,1.35692,103.69964,0.6810014740082493
'702637685925726591',minor,CONGESTION,03/01/2022 00:32:57,03/01/2022 00:47:57,0:15:00,1.36497,103.85997,1.35806,103.85752,0.8112634248247996
'582223790725122641',minor,CONGESTION,03/01/2022 00:33:50,03/01/2022 00:49:32,0:15:42,1.32597,103.83295,1.32696,103.8293,0.4206999134964681
'111136665090465289',minor,CONGESTION,03/01/2022 00:36:57,03/01/2022 00:51:57,0:15:00,1.35223,103.8574,1.34714,103.85915,0.5955694799670505
'3069923748165684203',minor,CONGESTION,03/01/2022 00:36:27,03/01/2022 00:51:27,0:15:00,1.32972,103.84963,1.3294,103.85339,0.4199427148838684
'2282807225681085732',minor,CONGESTION,03/01/2022 00:37:46,03/01/2022 00:51:31,0:13:45,1.41741,103.80251,1.41741,103.80251,0.0
