model,city,seed,depth,tod,#datapoints,#datapoints-train-sample-mean,#datapoints-test-sample-mean,np.mean(lr_object.scores_MSE),np.std(lr_object.scores_MSE),np.mean(lr_object.scores_QWK),np.std(lr_object.scores_QWK),num_splits
gradientboostingregressor,Capetown,115,1,6,"(528, 16)",353.0,175.0,0.8502571374944277,0.015831985630730745,0.11191273197758904,0.007697320526587994,7
lasso,NewYorkCity,135,1,6,"(113, 16)",75.0,38.0,4.416480668281429,0.0,0.0,0.0,7
ridge,MexicoCity,135,1,6,"(178, 16)",119.0,59.0,6.554790152574491,8.881784197001252e-16,0.1211715481171548,0.0,7
linearregression,Singapore,85,1,6,"(2279, 16)",1526.0,753.0,1.7835181788527878,0.0,0.28609464616414954,5.551115123125783e-17,7
linearregression,Istanbul,135,1,6,"(257, 16)",172.0,85.0,0.8996431171930918,0.0,0.14141414141414133,0.0,7
linearregression,London,125,1,6,"(204, 16)",136.0,68.0,5.29154655158622,0.0,0.23889202939513843,0.0,7
lasso,Capetown,115,1,6,"(528, 16)",353.0,175.0,0.7254839113537334,1.1102230246251565e-16,0.0,0.0,7
linearregression,NewYorkCity,135,1,6,"(113, 16)",75.0,38.0,3.990371446751581,0.0,0.2440921328148371,0.0,7
randomforestregressor,MexicoCity,145,1,6,"(151, 16)",101.0,50.0,13.075282507490158,0.7594682508837909,-0.020459885900646402,0.015922628932820468,7
ridge,Istanbul,135,1,6,"(257, 16)",172.0,85.0,0.9013538492242181,2.220446049250313e-16,0.08093914118010515,0.0,7
ridge,London,125,1,6,"(204, 16)",136.0,68.0,5.287962294730849,0.0,0.23889202939513843,0.0,7
ridge,NewYorkCity,135,1,6,"(113, 16)",75.0,38.0,2.8301800411053972,4.440892098500626e-16,0.510614208887631,0.0,7
linearregression,Capetown,115,1,6,"(528, 16)",353.0,175.0,0.8038137426814504,0.0,0.21550884031741596,5.551115123125783e-17,7
gradientboostingregressor,MexicoCity,145,1,6,"(151, 16)",101.0,50.0,19.10689942713472,0.5860196706572238,-0.011465948414560898,0.006677527738019978,7
randomforestregressor,Istanbul,145,1,6,"(246, 16)",164.0,82.0,1.490030337526635,0.11401024591409041,-0.01597990914360703,0.028741721346560098,7
ridge,Singapore,85,1,6,"(2279, 16)",1526.0,753.0,1.7827282394477846,2.220446049250313e-16,0.2898424269399453,5.551115123125783e-17,7
randomforestregressor,London,135,1,6,"(194, 16)",129.0,65.0,7.3543956159041235,0.1264842521739542,0.15609051452053085,0.05345964877636714,7
randomforestregressor,NewYorkCity,145,1,6,"(94, 16)",62.0,32.0,5.211718732349511,0.2093679678788706,-0.07709856561646806,0.04106598229236651,7
lasso,MexicoCity,145,1,6,"(151, 16)",101.0,50.0,5.548973881244104,8.881784197001252e-16,0.0,0.0,7
ridge,Capetown,115,1,6,"(528, 16)",353.0,175.0,0.6795314609018751,1.1102230246251565e-16,0.14469453376205785,2.7755575615628914e-17,7
gradientboostingregressor,Istanbul,145,1,6,"(246, 16)",164.0,82.0,1.1526378479527257,0.04628562720837232,0.04943184362095949,0.02453321448283828,7
gradientboostingregressor,London,135,1,6,"(194, 16)",129.0,65.0,7.22712385344317,0.016865663576376075,0.21762044885963716,0.003367103830612891,7
gradientboostingregressor,NewYorkCity,145,1,6,"(94, 16)",62.0,32.0,8.39299984253124,0.3568295724424315,-0.149315022530339,0.04410279164945754,7
linearregression,MexicoCity,145,1,6,"(151, 16)",101.0,50.0,6.024119948272039,8.881784197001252e-16,0.05035971223021585,0.0,7
randomforestregressor,Capetown,125,1,6,"(495, 16)",331.0,164.0,1.203636146491249,0.0222204438056353,0.12692269149703841,0.0344602280848096,7
lasso,Istanbul,145,1,6,"(246, 16)",164.0,82.0,1.0080756685948395,2.220446049250313e-16,0.0,0.0,7
lasso,London,135,1,6,"(194, 16)",129.0,65.0,7.762266949222493,0.0,0.0,0.0,7
lasso,NewYorkCity,145,1,6,"(94, 16)",62.0,32.0,4.195514473472202,8.881784197001252e-16,0.0,0.0,7
ridge,MexicoCity,145,1,6,"(151, 16)",101.0,50.0,6.121358541429089,0.0,0.04243593276384694,0.0,7
randomforestregressor,Singapore,95,1,6,"(2481, 16)",1662.0,819.0,2.374917538407593,0.019399089413003258,0.21829047947948696,0.01019296026475052,7
gradientboostingregressor,Capetown,125,1,6,"(495, 16)",331.0,164.0,1.4264755989370836,0.023224680700393036,0.0521971780556786,0.017252001083023428,7
linearregression,Istanbul,145,1,6,"(246, 16)",164.0,82.0,1.0191476601971179,0.0,0.06587976942080698,0.0,7
linearregression,NewYorkCity,145,1,6,"(94, 16)",62.0,32.0,4.89879615540717,8.881784197001252e-16,0.23112128146453093,0.0,7
linearregression,London,135,1,6,"(194, 16)",129.0,65.0,8.001558609175847,1.7763568394002505e-15,0.19568598282507269,2.7755575615628914e-17,7
randomforestregressor,MexicoCity,155,1,6,"(133, 16)",89.0,44.0,9.061680039036613,0.4008524083104112,0.14917171226113238,0.028072895222640545,7
ridge,NewYorkCity,145,1,6,"(94, 16)",62.0,32.0,4.53316700892615,8.881784197001252e-16,0.190947666195191,0.0,7
ridge,Istanbul,145,1,6,"(246, 16)",164.0,82.0,1.0188215572427417,0.0,0.06587976942080698,0.0,7
ridge,London,135,1,6,"(194, 16)",129.0,65.0,7.848383083372907,1.7763568394002505e-15,0.17047423979832987,0.0,7
lasso,Capetown,125,1,6,"(495, 16)",331.0,164.0,1.0310818608366537,0.0,0.0,0.0,7
gradientboostingregressor,MexicoCity,155,1,6,"(133, 16)",89.0,44.0,13.612496868159756,0.1589866782706464,0.11705981317303292,0.006705788922422177,7
gradientboostingregressor,Singapore,95,1,6,"(2481, 16)",1662.0,819.0,2.2163094776824264,0.0008108791744534928,0.2544297491145565,6.474361377449695e-06,7
randomforestregressor,Istanbul,155,1,6,"(237, 16)",158.0,79.0,1.0958728401965128,0.011201860768058469,-0.11374913793168837,0.0287334596525286,7
linearregression,Capetown,125,1,6,"(495, 16)",331.0,164.0,0.9863947058964853,2.220446049250313e-16,0.09190899502787397,0.0,7
lasso,MexicoCity,155,1,6,"(133, 16)",89.0,44.0,6.924342550993864,0.0,0.0,0.0,7
gradientboostingregressor,Istanbul,155,1,6,"(237, 16)",158.0,79.0,1.1930442126623575,0.008479160825869188,-0.01057810578105789,0.0,7
linearregression,MexicoCity,155,1,6,"(133, 16)",89.0,44.0,10.026789293596567,0.0,0.16392850695071312,2.7755575615628914e-17,7
ridge,Capetown,125,1,6,"(495, 16)",331.0,164.0,0.9805968883530659,0.0,0.05588870232669696,0.0,7
lasso,Istanbul,155,1,6,"(237, 16)",158.0,79.0,0.9831057138407344,2.220446049250313e-16,0.0,0.0,7
ridge,MexicoCity,155,1,6,"(133, 16)",89.0,44.0,9.534488192820335,1.7763568394002505e-15,0.18304936653560513,2.7755575615628914e-17,7
