NID,PC,Description,Length,Linestring
3735,2491,Woodlands Ave 2,0.58306,"MULTILINESTRING ((103.7915 1.42995 0,103.79148 1.43003 0),(103.79148 1.43003 0,103.79139 1.43028 0),(103.79139 1.43028 0,103.79134 1.4304 0,103.79132 1.43045 0),(103.79132 1.43045 0,103.79123 1.43064 0),(103.79123 1.43064 0,103.79113 1.43082 0,103.79099 1.43104 0),(103.79099 1.43104 0,103.79091 1.43115 0),(103.79091 1.43115 0,103.79082 1.43125 0,103.79069 1.43139 0,103.79056 1.43152 0,103.79043 1.43163 0,103.7903 1.43173 0,103.79016 1.43182 0,103.79002 1.4319 0),(103.79002 1.4319 0,103.78989 1.43196 0,103.78978 1.43201 0,103.78965 1.43206 0,103.78953 1.4321 0),(103.78953 1.4321 0,103.78945 1.43212 0),(103.78945 1.43212 0,103.78936 1.43213 0),(103.78936 1.43213 0,103.7892 1.43215 0,103.78897 1.43217 0,103.78871 1.43218 0,103.78865 1.43218 0),(103.78865 1.43218 0,103.78842 1.43218 0),(103.78842 1.43218 0,103.7882 1.43218 0),(103.7882 1.43218 0,103.78803 1.43217 0,103.78787 1.43215 0),(103.78787 1.43215 0,103.78783 1.43215 0),(103.78783 1.43215 0,103.78776 1.43215 0),(103.78776 1.43215 0,103.78769 1.43214 0),(103.78769 1.43214 0,103.78734 1.43206 0))"
3736,2490,Woodlands Ave 3,1.93854,"MULTILINESTRING ((103.78734 1.43206 0,103.78703 1.43198 0),(103.78703 1.43198 0,103.78648 1.43184 0),(103.78648 1.43184 0,103.78639 1.43182 0),(103.78639 1.43182 0,103.78607 1.43173 0),(103.78607 1.43173 0,103.78586 1.43168 0),(103.78586 1.43168 0,103.78561 1.43161 0),(103.78561 1.43161 0,103.78499 1.43144 0),(103.78499 1.43144 0,103.78464 1.43135 0),(103.78464 1.43135 0,103.78437 1.43126 0),(103.78437 1.43126 0,103.78408 1.43115 0),(103.78408 1.43115 0,103.78374 1.431 0,103.78329 1.43077 0),(103.78329 1.43077 0,103.78295 1.43059 0),(103.78295 1.43059 0,103.78246 1.43035 0),(103.78246 1.43035 0,103.78226 1.43025 0),(103.78226 1.43025 0,103.78207 1.43016 0),(103.78207 1.43016 0,103.78139 1.42978 0),(103.78139 1.42978 0,103.7808 1.42948 0,103.78043 1.42928 0,103.78023 1.42919 0,103.78007 1.42913 0,103.77991 1.4291 0),(103.77991 1.4291 0,103.77943 1.42909 0),(103.77943 1.42909 0,103.77915 1.42909 0),(103.77915 1.42909 0,103.77896 1.42909 0),(103.77896 1.42909 0,103.77856 1.42909 0),(103.77856 1.42909 0,103.77815 1.42909 0),(103.77815 1.42909 0,103.77791 1.42909 0),(103.77791 1.42909 0,103.77705 1.4291 0),(103.77705 1.4291 0,103.77653 1.4291 0),(103.77653 1.4291 0,103.77635 1.4291 0),(103.77635 1.4291 0,103.77548 1.4291 0),(103.77548 1.4291 0,103.77484 1.42911 0),(103.77484 1.42911 0,103.77468 1.42911 0),(103.77468 1.42911 0,103.77444 1.42915 0,103.77426 1.4292 0,103.77414 1.42925 0,103.77403 1.42931 0,103.7739 1.42938 0,103.77375 1.42949 0,103.77365 1.42958 0,103.77353 1.4297 0),(103.77353 1.4297 0,103.77342 1.42985 0),(103.77342 1.42985 0,103.7733 1.43005 0,103.77324 1.43017 0,103.77319 1.43031 0,103.77315 1.43048 0,103.77309 1.4308 0),(103.77309 1.4308 0,103.77306 1.43098 0),(103.77306 1.43098 0,103.77298 1.43139 0),(103.77298 1.43139 0,103.77295 1.43158 0),(103.77295 1.43158 0,103.77291 1.43179 0),(103.77291 1.43179 0,103.77284 1.43213 0),(103.77284 1.43213 0,103.77285 1.43229 0))"
3737,2467,West Coast Rd,0.02667,"MULTILINESTRING ((103.75294 1.31476 0,103.75303 1.31467 0),(103.75303 1.31467 0,103.75311 1.31459 0))"
3738,2468,Jalan Buroh,0.60308,"MULTILINESTRING ((103.75311 1.31459 0,103.7533 1.31439 0),(103.7533 1.31439 0,103.75357 1.31409 0),(103.75357 1.31409 0,103.75373 1.31391 0,103.7538 1.31383 0),(103.7538 1.31383 0,103.75405 1.31356 0),(103.75405 1.31356 0,103.7542 1.31339 0),(103.7542 1.31339 0,103.75439 1.31317 0,103.75457 1.31295 0),(103.75457 1.31295 0,103.75461 1.31293 0,103.75464 1.31291 0,103.75468 1.31286 0,103.75473 1.3128 0),(103.75473 1.3128 0,103.7548 1.31271 0,103.75524 1.31214 0,103.75559 1.31168 0),(103.75559 1.31168 0,103.75577 1.31143 0,103.75609 1.31102 0,103.7562 1.31086 0),(103.7562 1.31086 0,103.75642 1.31057 0),(103.75642 1.31057 0,103.75645 1.31054 0),(103.75645 1.31054 0,103.75655 1.31039 0))"
3739,2469,Clementi Rd,2.80092,"MULTILINESTRING ((103.75655 1.31039 0,103.75676 1.31009 0),(103.75676 1.31009 0,103.75696 1.30983 0),(103.75696 1.30983 0,103.75713 1.30963 0,103.75729 1.30943 0,103.75747 1.30919 0,103.75762 1.30898 0),(103.75762 1.30898 0,103.75784 1.30864 0,103.75787 1.30858 0,103.75789 1.30852 0),(103.75789 1.30852 0,103.7582 1.30814 0),(103.7582 1.30814 0,103.75845 1.3078 0),(103.75845 1.3078 0,103.75879 1.30732 0,103.75911 1.30687 0),(103.75911 1.30687 0,103.7593 1.30662 0),(103.7593 1.30662 0,103.75939 1.30649 0),(103.75939 1.30649 0,103.75992 1.30578 0),(103.75992 1.30578 0,103.76012 1.30551 0),(103.76012 1.30551 0,103.76043 1.30509 0),(103.76043 1.30509 0,103.76062 1.30483 0),(103.76062 1.30483 0,103.76073 1.30468 0,103.76089 1.30444 0,103.76101 1.30424 0,103.76126 1.30383 0,103.76135 1.30366 0,103.76144 1.30349 0),(103.76144 1.30349 0,103.7617 1.30291 0,103.76183 1.30263 0,103.76191 1.30245 0),(103.76191 1.30245 0,103.76194 1.30238 0),(103.76194 1.30238 0,103.76209 1.30207 0),(103.76209 1.30207 0,103.76226 1.3017 0,103.7624 1.30139 0),(103.7624 1.30139 0,103.76277 1.30058 0),(103.76277 1.30058 0,103.76294 1.30022 0),(103.76294 1.30022 0,103.76315 1.29977 0),(103.76315 1.29977 0,103.76326 1.29955 0),(103.76326 1.29955 0,103.76341 1.29922 0),(103.76341 1.29922 0,103.76352 1.29897 0),(103.76352 1.29897 0,103.76398 1.29797 0),(103.76398 1.29797 0,103.7642 1.29748 0),(103.7642 1.29748 0,103.76512 1.2955 0),(103.76512 1.2955 0,103.7653 1.2951 0),(103.7653 1.2951 0,103.76538 1.29493 0,103.76545 1.29476 0),(103.76545 1.29476 0,103.76559 1.29444 0),(103.76559 1.29444 0,103.76571 1.29406 0,103.7658 1.29382 0,103.7659 1.29358 0,103.76601 1.29333 0,103.7661 1.29314 0,103.76619 1.29298 0,103.7663 1.29281 0,103.76643 1.29261 0,103.76646 1.29257 0),(103.76646 1.29257 0,103.76656 1.29243 0,103.76671 1.29225 0,103.76691 1.29204 0,103.76707 1.29189 0,103.76733 1.29168 0,103.76738 1.29164 0,103.76745 1.29158 0,103.76769 1.29141 0,103.76793 1.29127 0,103.76823 1.29112 0,103.76854 1.29099 0,103.76873 1.29092 0),(103.76873 1.29092 0,103.76882 1.29089 0,103.76915 1.29078 0,103.76948 1.29068 0,103.77057 1.29036 0))"
3740,2470,Pasir Panjang Rd,2.22926,"MULTILINESTRING ((103.77057 1.29036 0,103.7708 1.29028 0),(103.7708 1.29028 0,103.77197 1.28987 0),(103.77197 1.28987 0,103.77249 1.28969 0),(103.77249 1.28969 0,103.77314 1.28947 0),(103.77314 1.28947 0,103.77327 1.28943 0),(103.77327 1.28943 0,103.77362 1.28931 0),(103.77362 1.28931 0,103.77393 1.28921 0),(103.77393 1.28921 0,103.77432 1.28907 0,103.77471 1.28892 0,103.77513 1.28875 0,103.77559 1.28855 0,103.77606 1.28833 0),(103.77606 1.28833 0,103.77649 1.28811 0),(103.77649 1.28811 0,103.777 1.28785 0,103.77719 1.28775 0,103.7773 1.28769 0),(103.7773 1.28769 0,103.77737 1.28765 0),(103.77737 1.28765 0,103.77741 1.28763 0),(103.77741 1.28763 0,103.77761 1.2875 0,103.77778 1.28738 0),(103.77778 1.28738 0,103.77797 1.28723 0),(103.77797 1.28723 0,103.77815 1.28708 0,103.77838 1.28688 0,103.77857 1.28669 0,103.77867 1.28659 0),(103.77867 1.28659 0,103.77875 1.28651 0,103.7789 1.28635 0,103.77908 1.28615 0),(103.77908 1.28615 0,103.77929 1.28589 0,103.77953 1.28558 0,103.77968 1.28538 0,103.77998 1.28499 0),(103.77998 1.28499 0,103.78057 1.28421 0),(103.78057 1.28421 0,103.78081 1.28389 0),(103.78081 1.28389 0,103.78094 1.28373 0),(103.78094 1.28373 0,103.78102 1.28362 0),(103.78102 1.28362 0,103.78111 1.28351 0),(103.78111 1.28351 0,103.78132 1.28324 0),(103.78132 1.28324 0,103.7815 1.283 0,103.78174 1.28269 0,103.78203 1.2823 0),(103.78203 1.2823 0,103.78229 1.28195 0,103.78256 1.28157 0,103.78277 1.28128 0),(103.78277 1.28128 0,103.78294 1.28103 0),(103.78294 1.28103 0,103.78309 1.28074 0),(103.78309 1.28074 0,103.78331 1.28036 0,103.78346 1.28011 0,103.78369 1.27975 0),(103.78369 1.27975 0,103.78383 1.27955 0,103.78392 1.27944 0,103.78403 1.27932 0),(103.78403 1.27932 0,103.78416 1.2792 0,103.78431 1.27908 0,103.7845 1.27894 0,103.7847 1.27882 0,103.78491 1.27871 0,103.7851 1.27863 0,103.78533 1.27855 0,103.7858 1.2784 0))"
3741,2471,Alexandra Rd,1.94024,"MULTILINESTRING ((103.7858 1.2784 0,103.78586 1.27838 0,103.78653 1.27817 0,103.7868 1.27808 0),(103.7868 1.27808 0,103.78779 1.27776 0),(103.78779 1.27776 0,103.78869 1.27746 0,103.79073 1.27675 0,103.79093 1.27668 0,103.79343 1.27583 0,103.79438 1.2755 0,103.79569 1.27505 0,103.79634 1.27483 0,103.79643 1.2748 0,103.79696 1.27462 0),(103.79696 1.27462 0,103.79789 1.2743 0,103.79881 1.27398 0,103.79916 1.27386 0,103.79935 1.27379 0,103.79955 1.27371 0,103.79973 1.27363 0,103.80004 1.27348 0,103.80029 1.27336 0,103.8006 1.2732 0,103.80081 1.2731 0,103.80106 1.27299 0,103.80124 1.27292 0,103.80145 1.27285 0,103.80157 1.27282 0,103.80172 1.27279 0,103.80192 1.27276 0,103.80214 1.27275 0),(103.80214 1.27275 0,103.80227 1.27274 0))"
3742,2472,Henderson Rd,1.88566,"MULTILINESTRING ((103.80227 1.27274 0,103.80244 1.27274 0),(103.80244 1.27274 0,103.80283 1.27273 0),(103.80283 1.27273 0,103.80315 1.27271 0),(103.80315 1.27271 0,103.80329 1.2727 0),(103.80329 1.2727 0,103.8035 1.27268 0),(103.8035 1.27268 0,103.80371 1.27265 0),(103.80371 1.27265 0,103.80383 1.27263 0),(103.80383 1.27263 0,103.80408 1.27258 0),(103.80408 1.27258 0,103.80422 1.27255 0),(103.80422 1.27255 0,103.80436 1.27252 0),(103.80436 1.27252 0,103.80455 1.27247 0),(103.80455 1.27247 0,103.80464 1.27244 0),(103.80464 1.27244 0,103.8048 1.27239 0),(103.8048 1.27239 0,103.80491 1.27235 0),(103.80491 1.27235 0,103.80506 1.27229 0),(103.80506 1.27229 0,103.80519 1.27224 0),(103.80519 1.27224 0,103.80552 1.27211 0),(103.80552 1.27211 0,103.80566 1.27205 0),(103.80566 1.27205 0,103.80589 1.27196 0),(103.80589 1.27196 0,103.80611 1.27187 0),(103.80611 1.27187 0,103.80632 1.27179 0),(103.80632 1.27179 0,103.80657 1.27169 0),(103.80657 1.27169 0,103.80681 1.27159 0),(103.80681 1.27159 0,103.80699 1.27152 0),(103.80699 1.27152 0,103.80726 1.27142 0),(103.80726 1.27142 0,103.8075 1.27134 0),(103.8075 1.27134 0,103.80769 1.27129 0),(103.80769 1.27129 0,103.80782 1.27126 0),(103.80782 1.27126 0,103.80799 1.27123 0),(103.80799 1.27123 0,103.80824 1.27119 0),(103.80824 1.27119 0,103.80874 1.27113 0),(103.80874 1.27113 0,103.8092 1.27108 0),(103.8092 1.27108 0,103.80951 1.27105 0),(103.80951 1.27105 0,103.8098 1.27103 0),(103.8098 1.27103 0,103.81032 1.271 0),(103.81032 1.271 0,103.81063 1.27098 0),(103.81063 1.27098 0,103.81082 1.27097 0),(103.81082 1.27097 0,103.81093 1.27096 0),(103.81093 1.27096 0,103.81101 1.27095 0),(103.81101 1.27095 0,103.81113 1.27093 0),(103.81113 1.27093 0,103.81123 1.27091 0),(103.81123 1.27091 0,103.81142 1.27086 0),(103.81142 1.27086 0,103.81155 1.27082 0),(103.81155 1.27082 0,103.81165 1.27078 0),(103.81165 1.27078 0,103.81176 1.27073 0),(103.81176 1.27073 0,103.81188 1.27067 0),(103.81188 1.27067 0,103.81204 1.27058 0),(103.81204 1.27058 0,103.8122 1.27048 0),(103.8122 1.27048 0,103.81232 1.2704 0),(103.81232 1.2704 0,103.81248 1.2703 0),(103.81248 1.2703 0,103.81276 1.27011 0),(103.81276 1.27011 0,103.81283 1.27006 0),(103.81283 1.27006 0,103.81301 1.26993 0),(103.81301 1.26993 0,103.8134 1.26967 0),(103.8134 1.26967 0,103.81383 1.26939 0),(103.81383 1.26939 0,103.81398 1.26929 0),(103.81398 1.26929 0,103.81425 1.26912 0),(103.81425 1.26912 0,103.81447 1.26899 0),(103.81447 1.26899 0,103.81473 1.26884 0),(103.81473 1.26884 0,103.81489 1.26875 0),(103.81489 1.26875 0,103.81504 1.26867 0),(103.81504 1.26867 0,103.81556 1.2684 0,103.81597 1.26819 0),(103.81597 1.26819 0,103.81638 1.26797 0,103.81693 1.26766 0,103.81738 1.26739 0,103.81791 1.26705 0))"
3743,2473,Sentosa Gtwy,0.69737,"MULTILINESTRING ((103.81791 1.26705 0,103.81805 1.26695 0),(103.81805 1.26695 0,103.81815 1.26688 0),(103.81815 1.26688 0,103.81834 1.26675 0,103.81847 1.26667 0),(103.81847 1.26667 0,103.81941 1.26609 0,103.81959 1.26599 0,103.81968 1.26595 0,103.81981 1.2659 0,103.81992 1.26586 0,103.82006 1.26582 0,103.82022 1.26578 0,103.82038 1.26575 0,103.82058 1.26573 0,103.82078 1.26572 0,103.82098 1.26572 0,103.82122 1.26573 0,103.82191 1.26576 0,103.82282 1.26581 0),(103.82282 1.26581 0,103.82322 1.26583 0,103.82376 1.26586 0),(103.82376 1.26586 0,103.82383 1.26586 0))"
3744,2474,KG Bahru Rd,0.78276,"MULTILINESTRING ((103.82383 1.26586 0,103.82414 1.26588 0,103.82425 1.26589 0,103.82434 1.2659 0),(103.82434 1.2659 0,103.82445 1.26591 0,103.82459 1.26592 0),(103.82459 1.26592 0,103.82473 1.26594 0,103.82487 1.26597 0,103.82497 1.266 0,103.82511 1.26605 0),(103.82511 1.26605 0,103.82522 1.2661 0,103.82528 1.26613 0),(103.82528 1.26613 0,103.82535 1.26617 0,103.82543 1.26622 0,103.82553 1.26629 0,103.82562 1.26636 0,103.82577 1.26648 0),(103.82577 1.26648 0,103.82621 1.26686 0),(103.82621 1.26686 0,103.82632 1.26696 0,103.82643 1.26706 0,103.82708 1.26768 0,103.8275 1.2681 0),(103.8275 1.2681 0,103.82765 1.26824 0,103.82775 1.26834 0,103.82793 1.26852 0),(103.82793 1.26852 0,103.8285 1.26909 0,103.82889 1.26947 0,103.82935 1.26991 0))"
3745,2475,AYE/Ayer Rajah Expy,0.52797,"MULTILINESTRING ((103.82935 1.26991 0,103.82949 1.27003 0),(103.82949 1.27003 0,103.82963 1.27016 0),(103.82963 1.27016 0,103.82972 1.27025 0),(103.82972 1.27025 0,103.82992 1.27044 0),(103.82992 1.27044 0,103.83007 1.27058 0),(103.83007 1.27058 0,103.83018 1.27068 0),(103.83018 1.27068 0,103.8304 1.27088 0),(103.8304 1.27088 0,103.83042 1.27093 0,103.83044 1.27096 0,103.83051 1.27103 0,103.83075 1.27126 0,103.83113 1.2716 0),(103.83113 1.2716 0,103.8313 1.27176 0),(103.8313 1.27176 0,103.83152 1.27196 0),(103.83152 1.27196 0,103.83197 1.27236 0),(103.83197 1.27236 0,103.83207 1.27244 0,103.83217 1.27251 0,103.83231 1.27258 0,103.83238 1.2726 0,103.83249 1.27262 0,103.83261 1.27263 0,103.83274 1.27263 0,103.83285 1.27263 0),(103.83285 1.27263 0,103.83306 1.27262 0))"
3746,2501,Gambas Ave,0.08683,"MULTILINESTRING ((103.8118 1.44457 0,103.81177 1.44431 0),(103.81177 1.44431 0,103.81176 1.4442 0),(103.81176 1.4442 0,103.81175 1.44416 0),(103.81175 1.44416 0,103.81171 1.44379 0))"
3747,2502,Woodlands Ave 5,1.60668,"MULTILINESTRING ((103.81171 1.44379 0,103.81165 1.44318 0),(103.81165 1.44318 0,103.8116 1.44276 0,103.81153 1.4424 0,103.81146 1.4421 0,103.81138 1.44184 0,103.81129 1.4416 0,103.81116 1.4413 0,103.81105 1.44108 0,103.81093 1.44087 0,103.8108 1.44066 0,103.81066 1.44047 0,103.81049 1.44026 0),(103.81049 1.44026 0,103.81041 1.44015 0,103.81019 1.43989 0,103.80999 1.43966 0),(103.80999 1.43966 0,103.80994 1.4396 0),(103.80994 1.4396 0,103.80946 1.43905 0),(103.80946 1.43905 0,103.80901 1.43854 0),(103.80901 1.43854 0,103.80892 1.43844 0),(103.80892 1.43844 0,103.80802 1.43739 0),(103.80802 1.43739 0,103.80667 1.43583 0),(103.80667 1.43583 0,103.80482 1.43369 0),(103.80482 1.43369 0,103.80406 1.43285 0),(103.80406 1.43285 0,103.80361 1.43235 0),(103.80361 1.43235 0,103.80358 1.43231 0),(103.80358 1.43231 0,103.80348 1.43219 0))"
3748,2503,Woodlands Ave 1,0.79399,"MULTILINESTRING ((103.80348 1.43219 0,103.80023 1.42843 0),(103.80023 1.42843 0,103.7999 1.42805 0),(103.7999 1.42805 0,103.79938 1.42744 0),(103.79938 1.42744 0,103.79918 1.42721 0),(103.79918 1.42721 0,103.79892 1.42691 0),(103.79892 1.42691 0,103.79888 1.42686 0),(103.79888 1.42686 0,103.7988 1.42677 0))"
3749,2504,SLE/Seletar Expy/Exit 9,0.46692,"MULTILINESTRING ((103.7988 1.42677 0,103.79859 1.42652 0),(103.79859 1.42652 0,103.79826 1.42614 0,103.7979 1.42573 0,103.79753 1.42529 0,103.79709 1.42478 0),(103.79709 1.42478 0,103.79673 1.42437 0),(103.79673 1.42437 0,103.7965 1.4241 0),(103.7965 1.4241 0,103.79636 1.42394 0),(103.79636 1.42394 0,103.7962 1.42376 0),(103.7962 1.42376 0,103.79604 1.42359 0))"
3750,2504,SLE/Seletar Expy/Exit 9,0.04088,"MULTILINESTRING ((103.79576 1.4234 0,103.796 1.42368 0))"
3751,2503,Woodlands Ave 1,0.49472,"MULTILINESTRING ((103.796 1.42368 0,103.79628 1.424 0),(103.79628 1.424 0,103.79644 1.42417 0),(103.79644 1.42417 0,103.79655 1.42429 0,103.79666 1.42441 0),(103.79666 1.42441 0,103.79677 1.42453 0,103.79705 1.42483 0),(103.79705 1.42483 0,103.79712 1.42491 0,103.79737 1.42522 0,103.79756 1.42547 0,103.79774 1.42569 0,103.79798 1.42597 0,103.79821 1.42624 0),(103.79821 1.42624 0,103.79855 1.42665 0),(103.79855 1.42665 0,103.79869 1.4268 0),(103.79869 1.4268 0,103.79872 1.42684 0),(103.79872 1.42684 0,103.7988 1.42693 0),(103.7988 1.42693 0,103.79891 1.42706 0))"
3752,2502,Woodlands Ave 5,0.779,"MULTILINESTRING ((103.79891 1.42706 0,103.79928 1.42748 0,103.79955 1.4278 0),(103.79955 1.4278 0,103.79986 1.42816 0),(103.79986 1.42816 0,103.80011 1.42844 0),(103.80011 1.42844 0,103.80091 1.42936 0,103.80186 1.43047 0,103.803 1.43179 0),(103.803 1.43179 0,103.80324 1.43206 0),(103.80324 1.43206 0,103.8034 1.43225 0),(103.8034 1.43225 0,103.80351 1.43237 0))"
3753,2501,Gambas Ave,1.6793,"MULTILINESTRING ((103.80351 1.43237 0,103.80356 1.43244 0),(103.80356 1.43244 0,103.80364 1.43253 0),(103.80364 1.43253 0,103.80452 1.43354 0),(103.80452 1.43354 0,103.80471 1.43376 0),(103.80471 1.43376 0,103.80791 1.43748 0),(103.80791 1.43748 0,103.80867 1.43835 0),(103.80867 1.43835 0,103.80877 1.43847 0,103.80882 1.43853 0),(103.80882 1.43853 0,103.80891 1.43863 0),(103.80891 1.43863 0,103.809 1.43873 0),(103.809 1.43873 0,103.80975 1.4396 0),(103.80975 1.4396 0,103.80989 1.43976 0),(103.80989 1.43976 0,103.81011 1.44001 0),(103.81011 1.44001 0,103.81033 1.44027 0,103.81037 1.44032 0),(103.81037 1.44032 0,103.81043 1.4404 0),(103.81043 1.4404 0,103.81055 1.44055 0,103.81068 1.44073 0,103.81081 1.44094 0,103.81094 1.44116 0,103.81104 1.44135 0),(103.81104 1.44135 0,103.81115 1.44159 0,103.81125 1.44186 0,103.81133 1.44211 0,103.81141 1.44241 0,103.81147 1.44277 0,103.81152 1.4432 0),(103.81152 1.4432 0,103.81157 1.44362 0,103.8116 1.44397 0),(103.8116 1.44397 0,103.81163 1.44421 0),(103.81163 1.44421 0,103.81165 1.44436 0),(103.81165 1.44436 0,103.81169 1.44469 0))"
3754,2490,Woodlands Ave 3,0.04365,"MULTILINESTRING ((103.77285 1.43229 0,103.77293 1.43214 0),(103.77293 1.43214 0,103.77297 1.43193 0))"
3755,2491,Woodlands Ave 2,1.99354,"MULTILINESTRING ((103.77297 1.43193 0,103.77301 1.43167 0,103.77305 1.43142 0),(103.77305 1.43142 0,103.77309 1.43123 0),(103.77309 1.43123 0,103.77324 1.43043 0,103.77327 1.43031 0,103.77332 1.43017 0,103.7734 1.43002 0,103.77351 1.42986 0),(103.77351 1.42986 0,103.77359 1.42975 0),(103.77359 1.42975 0,103.77372 1.42962 0,103.77379 1.42956 0,103.77394 1.42946 0),(103.77394 1.42946 0,103.77406 1.42939 0,103.7742 1.42932 0),(103.7742 1.42932 0,103.77436 1.42926 0,103.77453 1.42921 0,103.77472 1.42919 0,103.77496 1.42919 0),(103.77496 1.42919 0,103.77532 1.42919 0),(103.77532 1.42919 0,103.77549 1.42919 0),(103.77549 1.42919 0,103.77563 1.42919 0),(103.77563 1.42919 0,103.77627 1.42918 0),(103.77627 1.42918 0,103.77651 1.42917 0),(103.77651 1.42917 0,103.77667 1.42917 0),(103.77667 1.42917 0,103.77705 1.42917 0),(103.77705 1.42917 0,103.77734 1.42917 0),(103.77734 1.42917 0,103.7779 1.42917 0),(103.7779 1.42917 0,103.77815 1.42917 0),(103.77815 1.42917 0,103.77865 1.42916 0),(103.77865 1.42916 0,103.7788 1.42916 0),(103.7788 1.42916 0,103.77894 1.42916 0),(103.77894 1.42916 0,103.77912 1.42916 0),(103.77912 1.42916 0,103.77924 1.42916 0),(103.77924 1.42916 0,103.77943 1.42916 0),(103.77943 1.42916 0,103.77992 1.42918 0),(103.77992 1.42918 0,103.78016 1.42923 0,103.78035 1.42931 0,103.7812 1.42976 0),(103.7812 1.42976 0,103.78134 1.42984 0),(103.78134 1.42984 0,103.78138 1.42986 0),(103.78138 1.42986 0,103.78153 1.42995 0),(103.78153 1.42995 0,103.78195 1.43018 0),(103.78195 1.43018 0,103.78216 1.43028 0),(103.78216 1.43028 0,103.78226 1.43033 0,103.78243 1.43042 0),(103.78243 1.43042 0,103.78291 1.43067 0),(103.78291 1.43067 0,103.783 1.43071 0,103.78306 1.43074 0),(103.78306 1.43074 0,103.78342 1.43093 0),(103.78342 1.43093 0,103.78355 1.43099 0),(103.78355 1.43099 0,103.78372 1.43107 0),(103.78372 1.43107 0,103.78395 1.43117 0),(103.78395 1.43117 0,103.78406 1.43121 0),(103.78406 1.43121 0,103.78438 1.43134 0),(103.78438 1.43134 0,103.78461 1.43142 0),(103.78461 1.43142 0,103.78477 1.43147 0),(103.78477 1.43147 0,103.78501 1.43154 0),(103.78501 1.43154 0,103.78559 1.43169 0),(103.78559 1.43169 0,103.78584 1.43176 0),(103.78584 1.43176 0,103.78606 1.43181 0),(103.78606 1.43181 0,103.78637 1.43189 0),(103.78637 1.43189 0,103.78646 1.43191 0),(103.78646 1.43191 0,103.78681 1.432 0),(103.78681 1.432 0,103.787 1.43205 0),(103.787 1.43205 0,103.78719 1.43209 0),(103.78719 1.43209 0,103.78732 1.43212 0),(103.78732 1.43212 0,103.78745 1.43215 0),(103.78745 1.43215 0,103.78756 1.43217 0),(103.78756 1.43217 0,103.7877 1.43219 0),(103.7877 1.43219 0,103.78777 1.43221 0),(103.78777 1.43221 0,103.78785 1.43223 0),(103.78785 1.43223 0,103.78801 1.43225 0,103.78819 1.43226 0))"
3756,2492,Woodlands Ave 4,0.52974,"MULTILINESTRING ((103.78819 1.43226 0,103.78842 1.43226 0,103.7887 1.43226 0,103.78896 1.43225 0,103.78917 1.43224 0,103.78936 1.43222 0,103.78947 1.4322 0),(103.78947 1.4322 0,103.78955 1.43218 0),(103.78955 1.43218 0,103.78968 1.43214 0,103.78985 1.43208 0,103.79002 1.43201 0,103.79014 1.43195 0),(103.79014 1.43195 0,103.79027 1.43188 0,103.79038 1.43181 0,103.79049 1.43173 0),(103.79049 1.43173 0,103.79062 1.43162 0,103.79072 1.43152 0,103.79081 1.43142 0,103.79091 1.43131 0),(103.79091 1.43131 0,103.79104 1.43114 0),(103.79104 1.43114 0,103.79114 1.431 0,103.79122 1.43088 0,103.79129 1.43076 0),(103.79129 1.43076 0,103.79137 1.4306 0,103.79145 1.43042 0),(103.79145 1.43042 0,103.7915 1.43028 0),(103.7915 1.43028 0,103.79158 1.43006 0),(103.79158 1.43006 0,103.79161 1.42998 0),(103.79161 1.42998 0,103.79168 1.42974 0))"
3757,2493,Woodlands Ave 6,0.79033,"MULTILINESTRING ((103.79168 1.42974 0,103.79186 1.42919 0),(103.79186 1.42919 0,103.79195 1.4289 0,103.79202 1.42871 0,103.7921 1.42855 0,103.7922 1.42838 0),(103.7922 1.42838 0,103.79231 1.42822 0,103.79241 1.42809 0,103.79251 1.42798 0,103.79264 1.42786 0),(103.79264 1.42786 0,103.79273 1.42779 0,103.79282 1.42773 0),(103.79282 1.42773 0,103.7931 1.42756 0,103.79313 1.42754 0,103.7933 1.42744 0,103.79346 1.42738 0),(103.79346 1.42738 0,103.79367 1.4273 0,103.79372 1.42729 0,103.79386 1.42726 0,103.79402 1.42723 0,103.79427 1.42722 0),(103.79427 1.42722 0,103.79433 1.42722 0),(103.79433 1.42722 0,103.79458 1.42723 0,103.79477 1.42726 0,103.79495 1.4273 0,103.79515 1.42737 0),(103.79515 1.42737 0,103.79574 1.42751 0),(103.79574 1.42751 0,103.79619 1.42763 0),(103.79619 1.42763 0,103.79664 1.42771 0,103.79685 1.42775 0),(103.79685 1.42775 0,103.79704 1.42778 0,103.79723 1.42779 0),(103.79723 1.42779 0,103.79739 1.42778 0))"
3758,2494,Woodlands Ave 12,0.1978,"MULTILINESTRING ((103.79739 1.42778 0,103.79749 1.42776 0),(103.79749 1.42776 0,103.79774 1.42769 0,103.79791 1.42762 0,103.79807 1.42753 0),(103.79807 1.42753 0,103.79825 1.4274 0,103.79842 1.42726 0),(103.79842 1.42726 0,103.79861 1.42709 0),(103.79861 1.42709 0,103.79876 1.42696 0),(103.79876 1.42696 0,103.7988 1.42693 0),(103.7988 1.42693 0,103.79888 1.42686 0))"
3759,2510,Woodlands Ave 9/Woodlands Ave 5,0.06539,"MULTILINESTRING ((103.78485 1.44137 0,103.78504 1.44122 0),(103.78504 1.44122 0,103.78514 1.44115 0),(103.78514 1.44115 0,103.78533 1.44103 0))"
