NID,PC,DE,LE,TY,FF
307,338,Sultan Fatih Caddesi,0.31605,TR,24.0
308,339,İnönü Caddesi,0.21499,TR,27.3
309,349,Şirin 1 Sokak,0.03147,TR,40.0
310,348,Atatürk 4. Caddesi,0.12876,TR,25.6
311,346,Turgut Özal 1. Caddesi,0.03824,TR,28.0
312,345,Gerede Caddesi,0.32387,TR,38.5
313,344,Avrupa Caddesi/Atatürk 4. Caddesi,0.45154,TR,31.9
314,344,Avrupa Caddesi/Atatürk 4. Caddesi,0.0757,TR,20.0
315,345,Gerede Caddesi,0.52932,TR,34.7
316,346,Turgut Özal 1. Caddesi,0.20863,TR,35.4
317,348,Atatürk 4. Caddesi,0.03707,TR,22.0
318,349,Şirin 1 Sokak,0.12316,TR,29.2
319,352,Gerede Caddesi,0.02427,TR,38.0
320,351,Akdeniz 1 Sokak,0.0539,TR,39.4
321,351,Akdeniz 1 Sokak,0.02298,TR,31.0
322,352,Gerede Caddesi,0.05519,TR,30.6
323,355,Avrupa Caddesi,0.06145,TR,26.0
324,354,Şirin 1 Sokak,0.44763,TR,30.0
325,13600,Atatürk 4. Caddesi,0.20753,TR,33.8
326,358,Yavuz Sultan Selim Bulvarı/Çalışlar Caddesi,0.078,TR,26.3
327,357,İnönü Caddesi,0.73716,TR,35.2
328,357,İnönü Caddesi,0.03506,TR,27.0
329,358,Yavuz Sultan Selim Bulvarı/Çalışlar Caddesi,0.78735,TR,31.4
330,360,Kazım Karabekir Caddesi,0.08907,TR,28.0
331,361,Yavuz Sultan Selim Bulvarı,0.7697,TR,27.9
332,361,Yavuz Sultan Selim Bulvarı,0.06381,TR,33.0
333,360,Kazım Karabekir Caddesi,0.82016,TR,30.9
334,364,Kafkas Caddesi,0.07056,TR,24.0
335,363,Yavuz Sultan Selim Bulvarı,0.34493,TR,29.4
336,363,Yavuz Sultan Selim Bulvarı,0.05958,TR,31.2
337,364,Kafkas Caddesi,0.3559,TR,32.0
338,369,Gülyalı Caddesi,0.04116,TR,29.0
339,368,Paşabahçe Caddesi,0.29964,TR,34.6
340,367,Cebeci Caddesi,0.14712,TR,32.7
341,366,Kazım Karabekir Caddesi,0.40696,TR,33.5
342,372,Yavuz Sultan Selim Bulvarı,0.02629,TR,34.0
343,371,Kafkas Caddesi,0.30482,TR,30.8
344,13600,Atatürk 4. Caddesi,0.08421,TR,30.0
345,354,Şirin 1 Sokak,0.1082,TR,40.9
346,355,Avrupa Caddesi,0.44763,TR,28.3
347,366,Kazım Karabekir Caddesi,0.05235,TR,28.0
348,367,Cebeci Caddesi,0.3546,TR,36.3
349,368,Paşabahçe Caddesi,0.14712,TR,31.6
350,369,Gülyalı Caddesi,0.34081,TR,34.3
351,371,Kafkas Caddesi,0.09418,TR,24.0
352,372,Yavuz Sultan Selim Bulvarı,0.23693,TR,29.6
353,375,Kafkas Caddesi,0.08951,TR,27.0
354,374,Avrupa Caddesi,0.21684,TR,20.1
355,374,Avrupa Caddesi,0.03045,TR,25.0
356,375,Kafkas Caddesi,0.2759,TR,22.0
357,377,Ziya Gökalp Caddesi,0.05179,TR,38.0
358,378,Kanarya Caddesi,0.13271,TR,44.1
359,384,Yavuz Sultan Selim Bulvarı,0.03864,TR,28.1
360,383,Avrupa Caddesi,0.32617,TR,30.3
361,381,Marmara Caddesi,0.08134,TR,19.0
362,380,Sultan Fatih Caddesi,0.94966,TR,41.5
363,383,Avrupa Caddesi,0.02872,TR,28.7
364,384,Yavuz Sultan Selim Bulvarı,0.3361,TR,29.6
365,380,Sultan Fatih Caddesi,0.07288,TR,35.7
366,381,Marmara Caddesi,0.95811,TR,37.7
367,378,Kanarya Caddesi,0.02938,TR,40.0
368,377,Ziya Gökalp Caddesi,0.16121,TR,41.5
369,386,Yavuz Sultan Selim Bulvarı,0.02479,TR,30.0
370,387,Osmanlı Caddesi,0.22505,TR,31.9
371,387,Osmanlı Caddesi,0.02129,TR,29.0
372,386,Yavuz Sultan Selim Bulvarı,0.22855,TR,26.5
373,398,Yanyol Caddesi,0.02225,TR,24.0
374,397,Beyzade Caddesi,0.21279,TR,23.0
375,394,Gürpınar Yolu Caddesi/Turgut Özal Bulvarı,0.04256,TR,25.9
376,395,Kışla Caddesi,0.43329,TR,30.3
377,395,Kışla Caddesi,0.02047,TR,30.0
378,394,Gürpınar Yolu Caddesi/Turgut Özal Bulvarı,0.48069,TR,28.6
379,392,Yavuz Sultan Selim Bulvarı,0.05877,TR,50.0
380,391,Çankaya Caddesi,0.26014,TR,34.0
381,390,Kuşdili Caddesi,0.92667,TR,31.9
382,389,Anadolu Caddesi,0.14168,TR,30.8
383,397,Beyzade Caddesi,0.00892,TR,28.0
384,398,Yanyol Caddesi,0.22611,TR,22.6
385,389,Anadolu Caddesi,0.02566,TR,27.0
386,390,Kuşdili Caddesi,0.11601,TR,34.3
387,391,Çankaya Caddesi,0.92667,TR,36.4
388,392,Yavuz Sultan Selim Bulvarı,0.40555,TR,38.1
389,406,Mustafa Kemal Caddesi,0.08848,TR,36.6
390,405,Batı Trakya Bulvarı,0.56137,TR,35.3
391,402,İstanbul Caddesi,0.01769,TR,34.6
392,401,Ayazma Caddesi,0.25194,TR,43.0
393,400,Marmara Caddesi,1.45799,TR,30.9
394,405,Batı Trakya Bulvarı,0.07604,TR,30.0
395,406,Mustafa Kemal Caddesi,0.5738,TR,34.7
396,400,Marmara Caddesi,0.01728,TR,41.6
397,401,Ayazma Caddesi,1.44907,TR,34.4
398,402,İstanbul Caddesi,0.27234,TR,43.8
399,410,34.84/Beylikdüzü Bağlantı Yolu,0.02093,TR,16.0
400,409,Kıraç Köyü Yolu,1.02191,TR,28.6
401,408,İstanbul,0.65618,TR,26.1
402,413,Ferah Caddesi,0.04716,TR,25.8
403,412,Yan Yol,0.48737,TR,29.6
404,412,Yan Yol,0.06242,TR,50.0
405,413,Ferah Caddesi,0.47097,TR,24.5
406,408,İstanbul,0.09707,TR,26.1
407,409,Kıraç Köyü Yolu,0.58361,TR,26.1
408,410,34.84/Beylikdüzü Bağlantı Yolu,1.01847,TR,27.9
409,416,Fedakar Sokak,0.11058,TR,26.0
410,415,Osmanlı Caddesi,0.40463,TR,23.8
411,419,Tatlıcı Sokak,0.12416,TR,36.4
412,418,Erdemli Caddesi/Çankaya Caddesi,0.24535,TR,31.2
413,422,Yanyol Caddesi,0.02749,TR,25.0
414,421,Tatlıcı Sokak,0.06992,TR,30.0
415,415,Osmanlı Caddesi,0.01731,TR,40.0
416,416,Fedakar Sokak,0.4816,TR,24.4
417,418,Erdemli Caddesi/Çankaya Caddesi,0.0345,TR,26.0
418,419,Tatlıcı Sokak,0.33416,TR,36.7
419,421,Tatlıcı Sokak,0.03496,TR,34.0
420,422,Yanyol Caddesi,0.06245,TR,24.8
421,424,Derviş Eroğlu Caddesi,0.05407,TR,35.0
422,425,Yilmazlar Sokak/Fedakar Sokak,0.23759,TR,40.9
423,427,Fedakar Sokak,0.04229,TR,27.0
424,428,Derviş Eroğlu Caddesi,0.25111,TR,27.7
425,435,11. Caddesi,0.07319,TR,28.9
426,434,Atatürk Bulvarı Kavşağı,0.16956,TR,23.9
427,430,Atatürk Bulvarı,0.0188,TR,24.0
428,431,Erdemli Caddesi,0.5685,TR,32.2
429,432,Tatlıcı Sokak/Nadir Sokak,0.54321,TR,37.3
430,13601,Yanyol Caddesi,0.09256,TR,23.4
431,13601,Yanyol Caddesi,0.07017,TR,24.0
432,432,Tatlıcı Sokak/Nadir Sokak,0.14817,TR,29.8
433,431,Erdemli Caddesi,0.45366,TR,39.9
434,430,Atatürk Bulvarı,0.57126,TR,37.6
435,434,Atatürk Bulvarı Kavşağı,0.04951,TR,26.0
436,435,11. Caddesi,0.19324,TR,30.3
437,438,Belediye Caddesi,0.01532,TR,34.0
438,437,Beylikdüzü Caddesi,0.10208,TR,20.3
439,437,Beylikdüzü Caddesi,0.04256,TR,23.0
440,438,Belediye Caddesi,0.07484,TR,21.4
441,442,İmren Aykut Caddesi,0.02452,TR,29.0
442,441,Lokman Hekim Sokak,0.23604,TR,26.8
443,440,Cumhuriyet Caddesi,0.08937,TR,25.5
444,440,Cumhuriyet Caddesi,0.0398,TR,27.0
