NID,PC,DE,LE,TY,FF
3234,2170,Upp Changi Rd,0.7323,TR,70.6
3235,2169,Loyang Ave/Tampines Ave 7/Exit 2,0.98261,TR,75.7
3236,2168,Pasir Ris Dr 8/Tampines Ave 12/Exit 3A/Exit 3C,1.86524,TR,80.9
3237,2167,Elias Rd/Tampines Link/Exit 4,0.76388,TR,80.1
3238,2166,Pasir Ris Dr 12/Tampines Ave 10/Exit 5,1.19538,TR,82.5
3239,2165,KPE/Kallang Paya Lebar Expy/Exit 6/Exit 7,1.65104,TR,84.2
3240,2164,Punggol Rd/Exit 9,2.70824,TR,80.8
3241,2163,Punggol Way/Sengkang East Rd/Exit 10,0.52695,TR,81.7
3242,2162,Jalan Kayu/Exit 12,3.1868,TR,82.6
3243,2161,CTE/Seletar West Link/Central Expy/Exit 14/Exit 1B/Exit 1,1.83179,TR,61.6
3244,2186,Changi Coast Rd,0.02649,TR,60.0
3245,2187,Tanah Merah Ferry Rd,0.90503,TR,52.4
3246,2188,Changi East Dr,1.1508,TR,56.5
3247,2189,Changi Naval Base,1.93609,TR,56.6
3248,2191,AYE/Keppel Rd/Ayer Rajah Expy,0.04225,TR,23.0
3249,2192,Maxwell Rd,0.81918,TR,26.0
3250,2202,Cove Dr,0.06843,TR,15.0
3251,2201,Allanbrooke Rd,0.28081,TR,15.0
3252,2201,Allanbrooke Rd,0.01492,TR,15.0
3253,2202,Cove Dr,0.33431,TR,15.0
3254,2199,Leng Kee Rd/Tiong Bahru Rd,0.02043,TR,38.0
3255,2198,Alexandra Rd,0.17877,TR,28.0
3256,2197,Margaret Dr,0.15137,TR,43.8
3257,2777,Chatsworth Rd,0.6998,TR,43.9
3258,2196,Grange Rd/Napier Rd,1.01789,TR,45.0
3259,2195,Nassim Rd,0.4278,TR,41.8
3260,2194,Orange Grove Rd,0.08471,TR,42.2
3261,2777,Chatsworth Rd,0.877,TR,47.3
3262,2197,Margaret Dr,0.72475,TR,41.0
3263,2198,Alexandra Rd,0.20115,TR,31.4
3264,2199,Leng Kee Rd/Tiong Bahru Rd,0.13955,TR,36.4
3265,2207,Mountbatten Rd,0.03541,TR,31.0
3266,2206,Dunman Rd,0.85504,TR,37.5
3267,2205,Geylang Rd,0.66271,TR,40.9
3268,2204,Sims Ave,0.18484,TR,25.0
3269,2212,East Coast Park Service Rd,0.08663,TR,45.0
3270,2211,ECP/East Coast Pky,0.09657,TR,44.0
3271,2210,Amber Rd,0.07404,TR,48.4
3272,2209,Mountbatten Rd,0.3387,TR,33.9
3273,2215,Shipyard Rd,0.0164,TR,29.0
3274,2214,Jalan Buroh/Pioneer Rd,0.6663,TR,42.0
3275,2214,Jalan Buroh/Pioneer Rd,0.03346,TR,37.0
3276,2215,Shipyard Rd,0.64122,TR,46.2
3277,2209,Mountbatten Rd,0.04168,TR,27.0
3278,2210,Amber Rd,0.28322,TR,41.9
3279,2211,ECP/East Coast Pky,0.15491,TR,50.0
3280,2212,East Coast Park Service Rd,0.44406,TR,45.8
3281,2204,Sims Ave,0.01583,TR,28.0
3282,2205,Geylang Rd,0.20031,TR,31.5
3283,2206,Dunman Rd,0.6314,TR,41.8
3284,2207,Mountbatten Rd,0.89045,TR,38.8
3285,2222,Macpherson Rd,0.03262,TR,35.0
3286,2221,Lor Bakar Batu,0.61847,TR,31.8
3287,2221,Lor Bakar Batu,0.03014,TR,37.0
3288,2222,Macpherson Rd,0.62095,TR,28.9
3289,2217,Rhu Cross,0.01601,TR,29.0
3290,2218,KPE/Kallang Paya Lebar Expy/Exit 14/Exit 1,1.19327,TR,34.1
3291,2219,Fort Rd,0.9144,TR,38.2
3292,2219,Fort Rd,0.02003,TR,28.0
