NID,PC,DE,LE,TY,FF
209,475,Dr Annie Besant Road/DR Babasaheb Worlikar Chowk,0.46762,TR,35.0
210,479,Kilachand Road/M. B. Desai Road,0.02838,TR,20.0
211,480,Suriswarji Cross Road/Dada Save Marg,0.14542,TR,20.0
212,461,Airport Road/Sahar Airport Road,0.03285,TR,19.0
213,462,Marol Maroshi Road,0.23946,TR,25.0
214,463,Pasalkar Marg/Saki Vihar Road/Andheri Kurla Road,1.04131,TR,29.0
215,464,90 Feet Road/Shahid Bhagat Singh Chowk/Uma Maheshwari Mandir Marg,0.23003,TR,24.0
216,465,Lokmanya Tilak Nagar Marg,0.25918,TR,19.0
217,466,Nari Sewasadan Road/Netaji Palkar Marg,1.09086,TR,23.0
218,467,Jangleshwar Mahadev Mandir Road/Shri Balasaheb Thackeray Chowk,0.10474,TR,28.0
219,468,Agra Road/Lal Bahadur Shastri Marg,0.85966,TR,21.0
220,470,90 Feet Road/Imax Road,0.20808,TR,12.0
221,471,Antop Hill,0.14848,TR,21.0
222,472,Hemant Manjrekar Marg,2.54687,TR,24.0
223,473,NH-3/Eastern Express Highway/Vasantrao Naik Maha Marg,0.96039,TR,29.0
224,485,Javji Dadaji Marg/Jagannath Shankar Sheth Road,0.06561,TR,29.0
225,484,Forjet Street/Krantiveer Vasantrao Naik Marg,0.37071,TR,27.0
226,483,Dr Gopalrao Deshmukh Road/Hughes Road,0.27679,TR,24.0
227,482,Bhula Bhai Desai Road/Warden Road/J. M. Marg/Jamnadas Mehta Marg,0.31888,TR,31.0
228,482,Bhula Bhai Desai Road/Warden Road/J. M. Marg/Jamnadas Mehta Marg,0.01046,TR,24.0
229,483,Dr Gopalrao Deshmukh Road/Hughes Road,0.3458,TR,31.0
230,484,Forjet Street/Krantiveer Vasantrao Naik Marg,0.23097,TR,25.0
231,485,Javji Dadaji Marg/Jagannath Shankar Sheth Road,0.43827,TR,28.0
232,490,Gaothan Road/Hanuman Road,0.03206,TR,20.0
233,489,Nehru Road,0.4488,TR,19.0
234,488,Sant Chokha Mela Road/Sharada Road,0.53655,TR,19.0
235,487,Milan Subway Road/P. V. Avasare Marg,0.36658,TR,27.0
236,496,Ram Kuvar Thakur Marg,0.01892,TR,20.0
237,495,V. M. Marg/Hari Shankar Joshi Marg,0.33913,TR,19.0
238,492,Indian Merchant Chamber Marg/V. Mankad Road,0.02118,TR,20.0
239,493,Marine Drive Road,0.28456,TR,19.0
240,487,Milan Subway Road/P. V. Avasare Marg,0.0223,TR,40.0
241,488,Sant Chokha Mela Road/Sharada Road,0.34428,TR,29.0
242,489,Nehru Road,0.53655,TR,20.0
243,490,Gaothan Road/Hanuman Road,0.48086,TR,20.0
244,495,V. M. Marg/Hari Shankar Joshi Marg,0.02162,TR,19.0
245,496,Ram Kuvar Thakur Marg,0.33643,TR,18.0
246,500,Vitthal Bhai Patel Road,0.01811,TR,14.0
247,499,Girgaon Road/J. S. S. Road,0.43336,TR,17.0
248,498,Maharshi Karve Marg/Queens Road,0.29044,TR,18.0
249,498,Maharshi Karve Marg/Queens Road,0.02818,TR,20.0
250,499,Girgaon Road/J. S. S. Road,0.26225,TR,17.0
251,503,Mahul Village Marg,0.08048,TR,17.0
252,502,Wadala Mahul Road,1.58084,TR,19.0
253,507,Dr Gopalrao Deshmukh Marg/Hughes Road/Sitaram Patkar Marg,0.01543,TR,25.0
254,506,Kulapati K M Munshi Marg,0.17685,TR,39.0
255,505,Kavivarya B. R. Tambe Chowk,0.26612,TR,37.0
256,502,Wadala Mahul Road,0.02946,TR,20.0
257,503,Mahul Village Marg,1.63186,TR,19.0
258,505,Kavivarya B. R. Tambe Chowk,0.03636,TR,25.0
259,506,Kulapati K M Munshi Marg,0.2197,TR,37.0
260,507,Dr Gopalrao Deshmukh Marg/Hughes Road/Sitaram Patkar Marg,0.20738,TR,36.0
261,510,Bhawani Shankar Road,0.02431,TR,20.0
262,509,Jakhan Devi Chowk/Namdar Gopal Krishna Gokhale Marg,0.25198,TR,24.0
263,510,Bhawani Shankar Road,0.22608,TR,23.0
264,519,Mahim Dharavi Link Road/Senapati Bapat Marg,0.02234,TR,17.0
265,518,Late Ram Govind Tirlodkar Chowk/Manmala Tank Road,0.26074,TR,20.0
266,516,Hughes Road/Dr Gopalrao Deshmukh Road/Pedder Road/August Kranti Marg,0.01771,TR,30.0
267,515,Sumant Moolgaokar Chowk/Gibbs Road/Ridge Road,0.99772,TR,19.0
268,514,Chiranjilal Loyalka Road,0.17853,TR,28.0
269,513,J. M. Marg/Jamnadas Mehta Marg,0.90699,TR,29.0
270,512,R. B. Savant Chowk/Walkeshwar Road,0.07882,TR,24.0
271,512,R. B. Savant Chowk/Walkeshwar Road,0.01227,TR,21.0
272,513,J. M. Marg/Jamnadas Mehta Marg,0.1513,TR,26.0
273,514,Chiranjilal Loyalka Road,0.82223,TR,30.0
274,515,Sumant Moolgaokar Chowk/Gibbs Road/Ridge Road,0.18462,TR,27.0
275,516,Hughes Road/Dr Gopalrao Deshmukh Road/Pedder Road/August Kranti Marg,1.01543,TR,25.0
276,518,Late Ram Govind Tirlodkar Chowk/Manmala Tank Road,0.01542,TR,22.0
277,519,Mahim Dharavi Link Road/Senapati Bapat Marg,0.25658,TR,18.0
278,523,Nesbit Road,0.03925,TR,22.0
279,522,Hansraj Lane/Seth Moti Shah Road,0.20697,TR,22.0
280,521,Ismail P Merchant Chowk/Sir Jamshetji Jeejibhoy Road,0.40072,TR,33.0
281,527,Shoorji Vallabhdas Marg/J. N. Heredia Road,0.05948,TR,20.0
282,526,Shivsagar Ramgulam Marg,0.39337,TR,21.0
283,525,Frere Road/Fort Street,0.35518,TR,21.0
284,521,Ismail P Merchant Chowk/Sir Jamshetji Jeejibhoy Road,0.05721,TR,25.0
285,522,Hansraj Lane/Seth Moti Shah Road,0.3435,TR,32.0
286,523,Nesbit Road,0.24623,TR,21.0
287,525,Frere Road/Fort Street,0.03253,TR,20.0
288,526,Shivsagar Ramgulam Marg,0.32265,TR,25.0
289,527,Shoorji Vallabhdas Marg/J. N. Heredia Road,0.45286,TR,17.0
290,530,New Linking Road,0.02306,TR,16.0
291,529,Kandivali West,0.26018,TR,21.0
292,17090,Bandar Pakhadi Road,0.31119,TR,16.0
293,534,Prof. J. L. Shirsekar Marg,0.03185,TR,20.0
294,533,Service Road,0.67032,TR,14.0
295,17090,Bandar Pakhadi Road,0.08572,TR,18.0
296,529,Kandivali West,0.22546,TR,15.0
297,530,New Linking Road,0.28325,TR,20.0
298,547,Saat Rasta Chowk/Dr Anand Rao Nair Road/Sane Guruji Marg,0.14232,TR,19.0
