city,scale,featurename,FI
mexicocity,030,avg lanes,0.0076
mexicocity,030,local centrality,0.004
mexicocity,040,#SPN-2,0.0054
mexicocity,040,#SPN-3,0.0071
mexicocity,040,#SPN-4,0.0061
mexicocity,040,#SPN-5,0.0039
mexicocity,040,#edges,0.0041
mexicocity,040,#free turns,0.0013
mexicocity,040,#nodes,0.0061
mexicocity,040,#total crossings,0.0187
mexicocity,040,#traffic lights,0.0212
mexicocity,040,SPN-avg,0.0105
mexicocity,040,avg circuity,0.0107
mexicocity,040,avg degree,0.0107
mexicocity,040,avg lanes,0.0061
mexicocity,040,local centrality,0.0098
mexicocity,050,#SPN-2,0.0049
mexicocity,050,#SPN-3,0.0095
mexicocity,050,#SPN-4,0.008
mexicocity,050,#SPN-5,0.0021
mexicocity,050,#edges,0.0043
mexicocity,050,#free turns,0.0007
mexicocity,050,#nodes,0.0055
mexicocity,050,#total crossings,0.0151
mexicocity,050,#traffic lights,0.019
mexicocity,050,SPN-avg,0.0135
mexicocity,050,avg circuity,0.0078
mexicocity,050,avg degree,0.008
mexicocity,050,avg lanes,0.0059
mexicocity,050,local centrality,0.0077
mexicocity,060,#SPN-2,0.0044
mexicocity,060,#SPN-3,0.0081
mexicocity,060,#SPN-4,0.0073
mexicocity,060,#SPN-5,0.0018
mexicocity,060,#edges,0.0039
mexicocity,060,#free turns,0.0007
mexicocity,060,#nodes,0.0064
mexicocity,060,#total crossings,0.015
mexicocity,060,#traffic lights,0.0165
mexicocity,060,SPN-avg,0.0113
mexicocity,060,avg circuity,0.0086
mexicocity,060,avg degree,0.0105
mexicocity,060,avg lanes,0.0074
mexicocity,060,local centrality,0.0088
mexicocity,070,#SPN-2,0.0039
mexicocity,070,#SPN-3,0.0093
mexicocity,070,#SPN-4,0.007
mexicocity,070,#SPN-5,0.0011
mexicocity,070,#edges,0.0045
mexicocity,070,#free turns,0.0006
mexicocity,070,#nodes,0.0054
mexicocity,070,#total crossings,0.0131
mexicocity,070,#traffic lights,0.0127
mexicocity,070,SPN-avg,0.0105
mexicocity,070,avg circuity,0.011
mexicocity,070,avg degree,0.0126
mexicocity,070,avg lanes,0.0087
mexicocity,070,local centrality,0.0074
mexicocity,080,#SPN-2,0.0028
mexicocity,080,#SPN-3,0.006
mexicocity,080,#SPN-4,0.0081
mexicocity,080,#SPN-5,0.0016
mexicocity,080,#edges,0.0032
mexicocity,080,#free turns,0.0005
mexicocity,080,#nodes,0.0063
mexicocity,080,#total crossings,0.0146
mexicocity,080,#traffic lights,0.0138
mexicocity,080,SPN-avg,0.0145
mexicocity,080,avg circuity,0.0086
mexicocity,080,avg degree,0.0124
mexicocity,080,avg lanes,0.0064
mexicocity,080,local centrality,0.0122
mexicocity,090,#SPN-2,0.0048
mexicocity,090,#SPN-3,0.0077
mexicocity,090,#SPN-4,0.0069
mexicocity,090,#SPN-5,0.0024
mexicocity,090,#edges,0.0035
mexicocity,090,#free turns,0.0005
mexicocity,090,#nodes,0.0073
mexicocity,090,#total crossings,0.0135
mexicocity,090,#traffic lights,0.0115
mexicocity,090,SPN-avg,0.0138
mexicocity,090,avg circuity,0.0066
mexicocity,090,avg degree,0.0109
mexicocity,090,avg lanes,0.007
mexicocity,090,local centrality,0.0118
mexicocity,100,#SPN-2,0.003
mexicocity,100,#SPN-3,0.0077
mexicocity,100,#SPN-4,0.0084
mexicocity,100,#SPN-5,0.0022
mexicocity,100,#edges,0.0034
mexicocity,100,#free turns,0.0004
mexicocity,100,#nodes,0.0066
mexicocity,100,#total crossings,0.0116
mexicocity,100,#traffic lights,0.0135
mexicocity,100,SPN-avg,0.012
mexicocity,100,avg circuity,0.0078
mexicocity,100,avg degree,0.0113
mexicocity,100,avg lanes,0.008
mexicocity,100,local centrality,0.0115
mumbai,020,#SPN-2,0.0061
mumbai,020,#SPN-3,0.0071
mumbai,020,#SPN-4,0.0091
mumbai,020,#SPN-5,0.007
mumbai,020,#edges,0.0078
mumbai,020,#free turns,0.0003
mumbai,020,#nodes,0.0096
mumbai,020,#total crossings,0.0033
mumbai,020,#traffic lights,0.0034
mumbai,020,SPN-avg,0.006
mumbai,020,avg circuity,0.0099
mumbai,020,avg degree,0.006
mumbai,020,avg lanes,0.0026
mumbai,020,local centrality,0.008
mumbai,025,#SPN-2,0.0058
mumbai,025,#SPN-3,0.006
mumbai,025,#SPN-4,0.0042
mumbai,025,#SPN-5,0.0028
mumbai,025,#edges,0.0052
mumbai,025,#free turns,0.0013
mumbai,025,#nodes,0.0055
mumbai,025,#total crossings,0.0033
mumbai,025,#traffic lights,0.0034
mumbai,025,SPN-avg,0.0056
mumbai,025,avg circuity,0.0136
mumbai,025,avg degree,0.0154
mumbai,025,avg lanes,0.0049
mumbai,025,local centrality,0.0094
mumbai,030,#SPN-2,0.0048
mumbai,030,#SPN-3,0.0083
mumbai,030,#SPN-4,0.0117
mumbai,030,#SPN-5,0.0025
mumbai,030,#edges,0.0114
mumbai,030,#free turns,0.0005
mumbai,030,#nodes,0.0127
mumbai,030,#total crossings,0.0039
mumbai,030,#traffic lights,0.0036
mumbai,030,SPN-avg,0.0074
mumbai,030,avg circuity,0.0137
mumbai,030,avg degree,0.0143
mumbai,030,avg lanes,0.0056
mumbai,030,local centrality,0.0115
mumbai,040,#SPN-2,0.0046
mumbai,040,#SPN-3,0.0087
mumbai,040,#SPN-4,0.0105
mumbai,040,#SPN-5,0.0057
mumbai,040,#edges,0.0113
mumbai,040,#free turns,0.0007
mumbai,040,#nodes,0.012
mumbai,040,#total crossings,0.005
mumbai,040,#traffic lights,0.0046
mumbai,040,SPN-avg,0.0071
mumbai,040,avg circuity,0.006
mumbai,040,avg degree,0.0081
mumbai,040,avg lanes,0.0038
mumbai,040,local centrality,0.0055
mumbai,050,#SPN-2,0.0069
mumbai,050,#SPN-3,0.0097
mumbai,050,#SPN-4,0.008
mumbai,050,#SPN-5,0.0018
mumbai,050,#edges,0.011
mumbai,050,#free turns,0.0003
mumbai,050,#nodes,0.0163
mumbai,050,#total crossings,0.0047
mumbai,050,#traffic lights,0.0046
mumbai,050,SPN-avg,0.0045
mumbai,050,avg circuity,0.0096
mumbai,050,avg degree,0.0126
mumbai,050,avg lanes,0.004
mumbai,050,local centrality,0.0048
mumbai,060,#SPN-2,0.0066
mumbai,060,#SPN-3,0.0087
mumbai,060,#SPN-4,0.007
mumbai,060,#SPN-5,0.003
mumbai,060,#edges,0.0125
mumbai,060,#free turns,0.0005
mumbai,060,#nodes,0.02
mumbai,060,#total crossings,0.0084
mumbai,060,#traffic lights,0.0057
mumbai,060,SPN-avg,0.0065
mumbai,060,avg circuity,0.0125
mumbai,060,avg degree,0.0123
mumbai,060,avg lanes,0.0082
mumbai,060,local centrality,0.007
mumbai,070,#SPN-2,0.0038
mumbai,070,#SPN-3,0.0069
mumbai,070,#SPN-4,0.0057
mumbai,070,#SPN-5,0.0013
mumbai,070,#edges,0.0112
mumbai,070,#free turns,0.0003
mumbai,070,#nodes,0.0105
mumbai,070,#total crossings,0.0072
mumbai,070,#traffic lights,0.0066
mumbai,070,SPN-avg,0.0051
mumbai,070,avg circuity,0.006
mumbai,070,avg degree,0.0129
