city,scale,featurename,FI
capetown,040,#SPN-5,0.0002
capetown,040,#edges,0.0282
capetown,040,#free turns,0.0024
capetown,040,#nodes,0.0396
capetown,040,#total crossings,0.0268
capetown,040,#traffic lights,0.0414
capetown,040,SPN-avg,0.0354
capetown,040,avg circuity,0.0152
capetown,040,avg degree,0.01
capetown,040,avg lanes,0.0137
capetown,040,local centrality,0.0147
capetown,050,#SPN-2,0.0297
capetown,050,#SPN-3,0.0192
capetown,050,#SPN-4,0.0635
capetown,050,#SPN-5,0.0003
capetown,050,#edges,0.0263
capetown,050,#free turns,0.0079
capetown,050,#nodes,0.0291
capetown,050,#total crossings,0.0667
capetown,050,#traffic lights,0.0649
capetown,050,SPN-avg,0.0464
capetown,050,avg circuity,0.0135
capetown,050,avg degree,0.0108
capetown,050,avg lanes,0.0125
capetown,050,local centrality,0.0104
capetown,060,#SPN-2,0.0258
capetown,060,#SPN-3,0.0197
capetown,060,#SPN-4,0.0735
capetown,060,#SPN-5,0.0002
capetown,060,#edges,0.0288
capetown,060,#free turns,0.0025
capetown,060,#nodes,0.0373
capetown,060,#total crossings,0.0435
capetown,060,#traffic lights,0.0612
capetown,060,SPN-avg,0.0409
capetown,060,avg circuity,0.0162
capetown,060,avg degree,0.009
capetown,060,avg lanes,0.0149
capetown,060,local centrality,0.0148
capetown,070,#SPN-2,0.022
capetown,070,#SPN-3,0.0294
capetown,070,#SPN-4,0.0661
capetown,070,#SPN-5,0.0002
capetown,070,#edges,0.0253
capetown,070,#free turns,0.0086
capetown,070,#nodes,0.0359
capetown,070,#total crossings,0.0477
capetown,070,#traffic lights,0.0402
capetown,070,SPN-avg,0.0621
capetown,070,avg circuity,0.0126
capetown,070,avg degree,0.0091
capetown,070,avg lanes,0.0132
capetown,070,local centrality,0.0114
capetown,080,#SPN-2,0.0189
capetown,080,#SPN-3,0.0206
capetown,080,#SPN-4,0.0649
capetown,080,#SPN-5,0.0001
capetown,080,#edges,0.0367
capetown,080,#free turns,0.0068
capetown,080,#nodes,0.0417
capetown,080,#total crossings,0.0559
capetown,080,#traffic lights,0.0501
capetown,080,SPN-avg,0.0428
capetown,080,avg circuity,0.0169
capetown,080,avg degree,0.0132
capetown,080,avg lanes,0.0128
capetown,080,local centrality,0.0124
capetown,090,#SPN-2,0.0172
capetown,090,#SPN-3,0.0202
capetown,090,#SPN-4,0.0737
capetown,090,#SPN-5,0.0001
capetown,090,#edges,0.0326
capetown,090,#free turns,0.0048
capetown,090,#nodes,0.0374
capetown,090,#total crossings,0.0559
capetown,090,#traffic lights,0.0504
capetown,090,SPN-avg,0.0467
capetown,090,avg circuity,0.0119
capetown,090,avg degree,0.0103
capetown,090,avg lanes,0.0138
capetown,090,local centrality,0.0084
capetown,100,#SPN-2,0.0218
capetown,100,#SPN-3,0.0102
capetown,100,#SPN-4,0.0601
capetown,100,#SPN-5,0.0001
capetown,100,#edges,0.0338
capetown,100,#free turns,0.0119
capetown,100,#nodes,0.0345
capetown,100,#total crossings,0.0699
capetown,100,#traffic lights,0.0524
capetown,100,SPN-avg,0.0492
capetown,100,avg circuity,0.0127
capetown,100,avg degree,0.0148
capetown,100,avg lanes,0.0152
capetown,100,local centrality,0.0094
istanbul,030,#SPN-2,0.0154
istanbul,030,#SPN-3,0.043
istanbul,030,#SPN-4,0.0586
istanbul,030,#SPN-5,0.0153
istanbul,030,#edges,0.0358
istanbul,030,#free turns,0.0201
istanbul,030,#nodes,0.0264
istanbul,030,#total crossings,0.0429
istanbul,030,#traffic lights,0.0173
istanbul,030,SPN-avg,0.041
istanbul,030,avg circuity,0.0149
istanbul,030,avg degree,0.0141
istanbul,030,avg lanes,0.0402
istanbul,030,local centrality,0.0178
istanbul,037,#SPN-2,0.0244
istanbul,037,#SPN-3,0.0369
istanbul,037,#SPN-4,0.0666
istanbul,037,#SPN-5,0.0193
istanbul,037,#edges,0.0284
istanbul,037,#free turns,0.0185
istanbul,037,#nodes,0.0395
istanbul,037,#total crossings,0.0395
istanbul,037,#traffic lights,0.0222
istanbul,037,SPN-avg,0.0614
istanbul,037,avg circuity,0.0101
istanbul,037,avg degree,0.0168
istanbul,037,avg lanes,0.0232
istanbul,037,local centrality,0.0279
istanbul,045,#SPN-2,0.0141
istanbul,045,#SPN-3,0.0472
istanbul,045,#SPN-4,0.0504
istanbul,045,#SPN-5,0.0734
istanbul,045,#edges,0.0235
istanbul,045,#free turns,0.0102
istanbul,045,#nodes,0.0404
istanbul,045,#total crossings,0.0331
istanbul,045,#traffic lights,0.0171
istanbul,045,SPN-avg,0.057
istanbul,045,avg circuity,0.0203
istanbul,045,avg degree,0.0249
istanbul,045,avg lanes,0.0571
istanbul,045,local centrality,0.0096
istanbul,060,#SPN-2,0.0179
istanbul,060,#SPN-3,0.0507
istanbul,060,#SPN-4,0.0524
istanbul,060,#SPN-5,0.0193
istanbul,060,#edges,0.0394
istanbul,060,#free turns,0.0095
istanbul,060,#nodes,0.0443
istanbul,060,#total crossings,0.0444
istanbul,060,#traffic lights,0.0168
istanbul,060,SPN-avg,0.0426
istanbul,060,avg circuity,0.0181
istanbul,060,avg degree,0.0188
istanbul,060,avg lanes,0.0413
istanbul,060,local centrality,0.012
istanbul,075,#SPN-2,0.0129
istanbul,075,#SPN-3,0.0535
istanbul,075,#SPN-4,0.0562
istanbul,075,#SPN-5,0.0213
istanbul,075,#edges,0.0304
istanbul,075,#free turns,0.0116
istanbul,075,#nodes,0.0455
istanbul,075,#total crossings,0.0444
istanbul,075,#traffic lights,0.0178
istanbul,075,SPN-avg,0.0563
istanbul,075,avg circuity,0.0195
istanbul,075,avg degree,0.0223
istanbul,075,avg lanes,0.0336
istanbul,075,local centrality,0.0125
istanbul,090,#SPN-2,0.0142
istanbul,090,#SPN-3,0.0539
istanbul,090,#SPN-4,0.0622
istanbul,090,#SPN-5,0.0212
istanbul,090,#edges,0.0235
istanbul,090,#free turns,0.0112
istanbul,090,#nodes,0.0442
istanbul,090,#total crossings,0.0479
istanbul,090,#traffic lights,0.0201
istanbul,090,SPN-avg,0.0601
istanbul,090,avg circuity,0.0151
istanbul,090,avg degree,0.0237
istanbul,090,avg lanes,0.0445
istanbul,090,local centrality,0.0136
istanbul,105,#SPN-2,0.014
istanbul,105,#SPN-3,0.0668
istanbul,105,#SPN-4,0.0459
istanbul,105,#SPN-5,0.014
istanbul,105,#edges,0.0223
istanbul,105,#free turns,0.0061
istanbul,105,#nodes,0.0624
istanbul,105,#total crossings,0.0394
istanbul,105,#traffic lights,0.0189
istanbul,105,SPN-avg,0.0665
istanbul,105,avg circuity,0.0133
istanbul,105,avg degree,0.0262
istanbul,105,avg lanes,0.0384
istanbul,105,local centrality,0.01
istanbul,120,#SPN-2,0.0161
istanbul,120,#SPN-3,0.062
istanbul,120,#SPN-4,0.06
istanbul,120,#SPN-5,0.0121
istanbul,120,#edges,0.0292
istanbul,120,#free turns,0.0052
istanbul,120,#nodes,0.0607
istanbul,120,#total crossings,0.0349
istanbul,120,#traffic lights,0.0222
istanbul,120,SPN-avg,0.0569
istanbul,120,avg circuity,0.0162
istanbul,120,avg degree,0.0231
istanbul,120,avg lanes,0.0404
istanbul,120,local centrality,0.0144
istanbul,135,#SPN-2,0.0126
istanbul,135,#SPN-3,0.0607
istanbul,135,#SPN-4,0.0558
istanbul,135,#SPN-5,0.0147
istanbul,135,#edges,0.0236
istanbul,135,#free turns,0.0054
istanbul,135,#nodes,0.0558
istanbul,135,#total crossings,0.0388
istanbul,135,#traffic lights,0.0174
istanbul,135,SPN-avg,0.0857
istanbul,135,avg circuity,0.0204
istanbul,135,avg degree,0.0363
istanbul,135,avg lanes,0.0344
istanbul,135,local centrality,0.0112
istanbul,150,#SPN-2,0.0136
istanbul,150,#SPN-3,0.0477
