model,city,seed,depth,tod,#datapoints,#datapoints-train-sample-mean,#datapoints-test-sample-mean,np.mean(lr_object.scores_MSE),np.std(lr_object.scores_MSE),np.mean(lr_object.scores_QWK),np.std(lr_object.scores_QWK),num_splits
linearregression,Istanbul,70,1,6,"(2751, 16)",114.26190476190476,57.07142857142857,305.143039363532,851.6762156939719,0.17087974651173055,0.29065500048870896,42
randomforestregressor,Bogota,50,1,6,"(265, 16)",118.5,59.0,6.202202854170393,0.782965305472156,0.6974161922245453,0.060971026460697735,4
ridge,Mumbai,70,1,6,"(259, 16)",117.5,59.0,6.095797606054264,0.4065340809904012,0.23869695525313883,0.03607103634202835,2
randomforestregressor,Zurich,50,1,6,"(143, 16)",95.0,48.0,10.60171991237755,0.13878781228028814,0.319545630890721,0.1341972420171325,2
lasso,NewYorkCity,90,1,6,"(2589, 16)",116.44736842105263,58.18421052631579,6.304094979009949,1.030732346244129,0.021246471446342785,0.04596046972794543,38
linearregression,Singapore,65,1,6,"(623, 16)",116.625,58.375,5.188485139769208,3.243437324501567,0.5032878411855054,0.16234037911931434,8
randomforestregressor,Mumbai,50,1,6,"(153, 16)",102.0,51.0,5.6282453789150235,0.5446039305871584,0.3786741159591978,0.08826803280113277,2
linearregression,Mumbai,85,1,6,"(355, 16)",117.5,58.5,34.55179818210789,21.42361389914176,0.12884190905937726,0.028484544879499286,4
randomforestregressor,Zurich,90,1,6,"(364, 16)",118.75,59.5,8.575318404162573,0.3883158121982533,0.31229390770885,0.044757983419303565,4
randomforestregressor,Mumbai,85,1,6,"(355, 16)",113.0,56.25,5.650607011228362,0.9060245623706629,0.27334735662808846,0.1296543014334092,4
lasso,Capetown,90,1,6,"(1614, 16)",117.20833333333333,58.583333333333336,3.932843364182459,0.9346223425913522,0.006016047766680531,0.02135276457357519,24
lasso,Zurich,50,1,6,"(143, 16)",95.0,48.0,11.74998756621597,1.7977549640576598,0.14765738638772802,0.032511900190264786,2
ridge,Zurich,30,1,6,"(62, 16)",41.0,21.0,12.551293436278248,4.791467775170468,0.46123039836530416,0.17778143899959548,2
linearregression,Mumbai,70,1,6,"(259, 16)",115.5,57.5,110.87540980646733,100.62748353854485,0.24195165919992467,0.28992770696126113,2
lasso,London,30,1,6,"(723, 16)",108.8,54.2,6.3972595748223835,1.5257720634948229,0.11397087332243813,0.08952811986957264,10
linearregression,London,50,1,6,"(1663, 16)",114.83333333333333,57.25,28.27553485230391,45.14559130251646,0.14331255519317615,0.17758002065111508,24
randomforestregressor,Istanbul,50,1,6,"(1652, 16)",114.54166666666667,57.208333333333336,3.7923231568781475,1.3946370113802764,0.5719273411031339,0.09827694843132807,24
linearregression,Zurich,25,1,6,"(47, 16)",31.0,16.0,336.54823112487304,122.68530645995997,-0.06111420557248559,0.3252986027356062,2
randomforestregressor,Auckland,10,1,6,"(55, 16)",36.0,19.0,4.227067498651579,0.724229953355485,0.6760882260478707,0.022461184650225396,2
lasso,Zurich,45,1,6,"(122, 16)",81.0,41.0,10.500020175170551,2.3658645871433173,0.20802692033429449,0.050443775636401456,2
randomforestregressor,London,70,1,6,"(2783, 16)",115.57142857142857,57.785714285714285,5.195129862299394,1.8084633763518505,0.17501049942734018,0.12740014542629224,42
randomforestregressor,NewYorkCity,50,1,6,"(946, 16)",115.42857142857143,57.642857142857146,6.116403757716627,1.0181526389221358,0.41581808448205787,0.10151904079951686,14
lasso,MexicoCity,50,1,6,"(511, 16)",114.0,56.833333333333336,8.136065228198538,0.3418268848489285,0.06568712008635054,0.07463645210032649,6
ridge,Capetown,50,1,6,"(690, 16)",113.9,57.0,3.421026928223926,0.39367951033096693,0.553964250884702,0.03817772834836163,10
linearregression,Istanbul,10,1,6,"(113, 16)",75.0,38.0,163.60913099362645,130.48742025227213,0.09848144225917932,0.5352957794168716,2
ridge,Capetown,30,1,6,"(314, 16)",110.25,55.5,3.267637739559429,0.5887821053057014,0.6480722217775643,0.07608279140729014,4
lasso,Singapore,45,1,6,"(336, 16)",115.25,57.75,5.477883603420654,0.8394510596543096,0.28636611065731,0.06839264043769637,4
lasso,Bogota,90,1,6,"(626, 16)",118.75,59.25,7.3499356839597025,0.7612492500841,0.5145209097730783,0.04752368502504558,8
lasso,Capetown,50,1,6,"(690, 16)",116.8,58.3,4.472027668098946,0.7211862466589171,0.17268473495999637,0.10928132393005863,10
randomforestregressor,Capetown,90,1,6,"(1614, 16)",117.5,58.541666666666664,3.0228211018943973,0.9654995893589633,0.35994853133064075,0.12439885164885608,24
randomforestregressor,Mumbai,45,1,6,"(131, 16)",87.0,44.0,6.364115353226687,0.8324685551053994,0.21508948041272846,0.11628813047673403,2
lasso,Zurich,30,1,6,"(62, 16)",41.0,21.0,9.782985402152724,2.0290195781552463,0.30711331575725004,0.08552472105256587,2
ridge,Singapore,105,1,6,"(1397, 16)",113.85,56.85,3.485301915583153,0.9598678452891424,0.42033022109221746,0.12731917863692788,20
randomforestregressor,Bogota,90,1,6,"(626, 16)",113.375,56.875,6.309024367370166,0.9911938714592249,0.6754106544443266,0.06599243182261866,8
ridge,NewYorkCity,70,1,6,"(1681, 16)",119.08333333333333,59.541666666666664,6.057911355153647,1.2711205636660807,0.3521173011700916,0.1102243840799994,24
lasso,Bogota,70,1,6,"(441, 16)",115.66666666666667,58.0,7.248163984663716,0.846349539603402,0.5967721621164128,0.03902205667083292,6
lasso,Singapore,65,1,6,"(623, 16)",116.5,58.125,3.9917165645656407,0.6745767354818529,0.20075411771191887,0.08674416330122987,8
linearregression,NewYorkCity,70,1,6,"(1681, 16)",114.41666666666667,57.041666666666664,137.12907855719376,237.10914632861954,0.08365056273817865,0.2502213973302481,24
ridge,NewYorkCity,50,1,6,"(946, 16)",111.64285714285714,55.785714285714285,6.585067593692103,1.3969783789990626,0.40789812874114295,0.09472927870304312,14
randomforestregressor,Zurich,85,1,6,"(330, 16)",114.75,57.0,8.634551228819188,1.5568945591256522,0.3311753116924131,0.14932419333547287,4
randomforestregressor,MexicoCity,10,1,6,"(41, 16)",27.0,14.0,7.266702147515058,0.6255145471245762,0.38598622924260834,0.052652895909274966,2
randomforestregressor,NewYorkCity,90,1,6,"(2589, 16)",115.71052631578948,57.921052631578945,5.690626340492445,1.185882751587356,0.334055269048475,0.1088112053064558,38
randomforestregressor,Capetown,10,1,6,"(48, 16)",32.0,16.0,2.541855160583896,0.7622987168913186,0.791639038541235,0.03730832987981769,2
ridge,Singapore,50,1,6,"(408, 16)",115.0,57.333333333333336,3.669890842994332,0.35693847254061367,0.6014559447250152,0.034242527383713875,6
linearregression,Capetown,70,1,6,"(1144, 16)",115.375,57.875,57.095260080586534,140.4600509406966,0.3842601732549722,0.17530032749000812,16
